netA,netB,pvalue,percentage,behavior,pill,sign
salience,cerebell,0.02377117192414402,0.0,memory,placebo,pos
subcort,medfront,0.02155213997260297,0.0,memory,placebo,pos
subcort,frontoparietal,0.02891583092356198,0.0,memory,placebo,pos
subcort,DMN,0.011799363800287344,0.5,memory,placebo,pos
subcort,motor,0.02426993350259954,0.0,memory,placebo,pos
subcort,visA,0.011799363800287344,0.5,memory,placebo,pos
subcort,visB,0.005125955851372543,0.0,memory,placebo,pos
subcort,visassoc,0.012582257504461514,1.0,memory,placebo,pos
subcort,salience,0.019607385678656275,0.0,memory,placebo,pos
subcort,subcort,0.005125955851372543,0.0,memory,placebo,pos
subcort,cerebell,0.0066992009564051935,0.0,memory,placebo,pos
cerebell,medfront,0.026097091021287655,0.0,memory,placebo,pos
cerebell,frontoparietal,0.03502958149861313,0.0,memory,placebo,pos
cerebell,DMN,0.014314152360632604,0.0,memory,placebo,pos
cerebell,motor,0.029412619745227575,0.0,memory,placebo,pos
cerebell,visA,0.014314152360632604,0.0,memory,placebo,pos
cerebell,visB,0.006193718667931503,0.0,memory,placebo,pos
cerebell,visassoc,0.015262933347287788,0.0,memory,placebo,pos
cerebell,salience,0.02377117192414402,0.0,memory,placebo,pos
cerebell,subcort,0.0066992009564051935,0.0,memory,placebo,pos
cerebell,cerebell,0.007653474694825024,0.0,memory,placebo,pos
medfront,medfront,0.9755267934918398,0.0,arousal,cortisol,neg
medfront,frontoparietal,0.9939307849815142,0.0,arousal,cortisol,neg
medfront,DMN,0.8714568449154122,0.5,arousal,cortisol,neg
medfront,motor,0.9859703700653035,0.0,arousal,cortisol,neg
medfront,visA,0.14835298607011316,6.5,arousal,cortisol,neg
medfront,visB,0.5871973982724151,0.0,arousal,cortisol,neg
medfront,visassoc,0.887984219253431,1.0,arousal,cortisol,neg
medfront,salience,0.9676982761213356,0.5,arousal,cortisol,neg
medfront,subcort,0.2460012462191763,2.5,arousal,cortisol,neg
medfront,cerebell,0.6859844654756808,0.0,arousal,cortisol,neg
frontoparietal,medfront,0.9939307849815142,0.0,arousal,cortisol,neg
frontoparietal,frontoparietal,0.9988950605805141,1.0,arousal,cortisol,neg
frontoparietal,DMN,0.9370751095805625,1.5,arousal,cortisol,neg
frontoparietal,motor,0.9784647640021088,2.0,arousal,cortisol,neg
frontoparietal,visA,0.020960498065827338,13.5,arousal,cortisol,neg
frontoparietal,visB,0.6967373583984814,0.0,arousal,cortisol,neg
frontoparietal,visassoc,0.9477525713258745,1.0,arousal,cortisol,neg
frontoparietal,salience,0.9902868674243599,1.0,arousal,cortisol,neg
frontoparietal,subcort,0.36620055307904176,3.5,arousal,cortisol,neg
frontoparietal,cerebell,0.7902677655528958,0.0,arousal,cortisol,neg
DMN,medfront,0.8714568449154122,0.5,arousal,cortisol,neg
DMN,frontoparietal,0.9370751095805625,1.5,arousal,cortisol,neg
DMN,DMN,0.023285260014994424,6.0,arousal,cortisol,neg
DMN,motor,0.40358096870012194,5.5,arousal,cortisol,neg
DMN,visA,0.025942742014514852,7.5,arousal,cortisol,neg
DMN,visB,0.3829047289996903,1.0,arousal,cortisol,neg
DMN,visassoc,0.6959815878700031,1.5,arousal,cortisol,neg
DMN,salience,0.5540259042834398,2.5,arousal,cortisol,neg
