netA,netB,pvalue,percentage,stim1,stim2,pill,sign
subcort,visassoc,0.009451546888331053,0.0,alc,tool,placebo,pos
subcort,salience,0.01474177566472512,0.0,alc,tool,placebo,pos
subcort,subcort,0.003846908381429315,0.0,alc,tool,placebo,pos
subcort,cerebell,0.005028584523607327,0.0,alc,tool,placebo,pos
cerebell,medfront,0.019637234496374223,0.0,alc,tool,placebo,pos
cerebell,frontoparietal,0.026388752484926892,0.0,alc,tool,placebo,pos
cerebell,DMN,0.010754863069686427,0.0,alc,tool,placebo,pos
cerebell,motor,0.02214142380808448,0.0,alc,tool,placebo,pos
cerebell,visA,0.010754863069686427,0.0,alc,tool,placebo,pos
cerebell,visB,0.004648862020438793,0.0,alc,tool,placebo,pos
cerebell,visassoc,0.011469099235454583,0.0,alc,tool,placebo,pos
